02307,3,外ヶ浜町
02307,9,　　(旧 302 蟹田町)
02307,9,　　(旧 305 平舘村)
02307,9,　　(旧 306 三厩村)
02320,c,西津軽郡
02321,3,鰺ヶ沢町
02323,3,深浦町
02323,9,　　(旧 323 深浦町)
02323,9,　　(旧 325 岩崎村)
02340,c,中津軽郡
02343,3,西目屋村
02360,c,南津軽郡
02361,3,藤崎町
02361,9,　　(旧 361 藤崎町)
02361,9,　　(旧 366 常盤村)
02362,3,大鰐町
02367,3,田舎館村
02380,c,北津軽郡
02381,3,板柳町
02384,3,鶴田町
02387,3,中泊町
02387,9,　　(旧 383 中里町)
02387,9,　　(旧 386 小泊村)
02400,c,上北郡
02401,3,野辺地町
02402,3,七戸町
02402,9,　　(旧 402 七戸町)
02402,9,　　(旧 409 天間林村)
02405,3,六戸町
02406,3,横浜町
02408,3,東北町
02408,9,　　(旧 407 上北町)
02408,9,　　(旧 408 東北町)
02411,3,六ヶ所村
02412,3,おいらせ町
02412,9,　　(旧 403 百石町)
02412,9,　　(旧 410 下田町)
02420,c,下北郡
02423,3,大間町
02424,3,東通村
02425,3,風間浦村
02426,3,佐井村
02440,c,三戸郡
02441,3,三戸町
02442,3,五戸町
02442,9,　　(旧 442 五戸町)
02442,9,　　(旧 449 倉石村)
02443,3,田子町
02445,3,南部町
02445,9,　　(旧 444 名川町)
02445,9,　　(旧 445 南部町)
02445,9,　　(旧 447 福地村)
02446,3,階上町
02450,3,新郷村
03000,a,岩手県
03001,b,市部
03002,b,郡部
03201,2,盛岡市
03201,9,　　(旧 201 盛岡市)
03201,9,　　(旧 307 玉山村)
03202,2,宮古市
03202,9,　　(旧 202 宮古市)
03202,9,　　(旧 481 田老町)
03202,9,　　(旧 486 新里村)
03202,9,　　(旧 487 川井村)
03203,2,大船渡市
03203,9,　　(旧 203 大船渡市)
03203,9,　　(旧 442 三陸町)
03205,2,花巻市
03205,9,　　(旧 205 花巻市)
03205,9,　　(旧 341 大迫町)
03205,9,　　(旧 342 石鳥谷町)
03205,9,　　(旧 361 東和町)
03206,2,北上市
03207,2,久慈市
03207,9,　　(旧 207 久慈市)
03207,9,　　(旧 504 山形村)
03208,2,遠野市
03208,9,　　(旧 208 遠野市)
03208,9,　　(旧 462 宮守村)
03209,2,一関市
03209,9,　　(旧 209 一関市)
03209,9,　　(旧 401 花泉町)
03209,9,　　(旧 421 大東町)
03209,9,　　(旧 422 藤沢町)
03209,9,　　(旧 423 千厩町)
03209,9,　　(旧 424 東山町)
03209,9,　　(旧 425 室根村)
03209,9,　　(旧 426 川崎村)
03210,2,陸前高田市
03211,2,釜石市
03213,2,二戸市
03213,9,　　(旧 213 二戸市)
03213,9,　　(旧 521 浄法寺町)
03214,2,八幡平市
03214,9,　　(旧 304 西根町)
03214,9,　　(旧 306 松尾村)
03214,9,　　(旧 523 安代町)
03215,2,奥州市
03215,9,　　(旧 204 水沢市)
03215,9,　　(旧 212 江刺市)
03215,9,　　(旧 382 前沢町)
03215,9,　　(旧 383 胆沢町)
03215,9,　　(旧 384 衣川村)
03216,2,滝沢市
03216,9,　　(旧 305 滝沢村)
03300,c,岩手郡
03301,3,雫石町
03302,3,葛巻町
03303,3,岩手町
03320,c,紫波郡
03321,3,紫波町
03322,3,矢巾町
03360,c,和賀郡
03366,3,西和賀町
03366,9,　　(旧 363 湯田町)
03366,9,　　(旧 365 沢内村)
03380,c,胆沢郡
03381,3,金ケ崎町
03400,c,西磐井郡
03402,3,平泉町
03440,c,気仙郡
03441,3,住田町
03460,c,上閉伊郡
03461,3,大槌町
03480,c,下閉伊郡
03482,3,山田町
03483,3,岩泉町
03484,3,田野畑村
03485,3,普代村
03500,c,九戸郡
03501,3,軽米町
03503,3,野田村
03506,3,九戸村
03507,3,洋野町
03507,9,　　(旧 502 種市町)
03507,9,　　(旧 505 大野村)
03520,c,二戸郡
03524,3,一戸町
04000,a,宮城県
04001,b,市部
04002,b,郡部
04100,1,仙台市
04101,0,仙台市 青葉区
04102,0,仙台市 宮城野区
04103,0,仙台市 若林区
04104,0,仙台市 太白区
04105,0,仙台市 泉区
04202,2,石巻市
04202,9,　　(旧 202 石巻市)
04202,9,　　(旧 561 河北町)
04202,9,　　(旧 563 雄勝町)
04202,9,　　(旧 564 河南町)
04202,9,　　(旧 565 桃生町)
04202,9,　　(旧 567 北上町)
04202,9,　　(旧 582 牡鹿町)
04203,2,塩竈市
04205,2,気仙沼市
04205,9,　　(旧 205 気仙沼市)
04205,9,　　(旧 603 本吉町)
04205,9,　　(旧 604 唐桑町)
04206,2,白石市
04207,2,名取市
04208,2,角田市
04209,2,多賀城市
04211,2,岩沼市
04212,2,登米市
04212,9,　　(旧 541 迫町)
04212,9,　　(旧 542 登米町)
04212,9,　　(旧 543 東和町)
04212,9,　　(旧 544 中田町)
04212,9,　　(旧 545 豊里町)
04212,9,　　(旧 546 米山町)
04212,9,　　(旧 547 石越町)
04212,9,　　(旧 548 南方町)
04212,9,　　(旧 602 津山町)
04213,2,栗原市
04213,9,　　(旧 521 築館町)
04213,9,　　(旧 522 若柳町)
04213,9,　　(旧 523 栗駒町)
04213,9,　　(旧 524 高清水町)
04213,9,　　(旧 525 一迫町)
04213,9,　　(旧 526 瀬峰町)
04213,9,　　(旧 527 鶯沢町)
04213,9,　　(旧 528 金成町)
04213,9,　　(旧 529 志波姫町)
04213,9,　　(旧 530 花山村)
04214,2,東松島市
04214,9,　　(旧 562 矢本町)
04214,9,　　(旧 566 鳴瀬町)
04215,2,大崎市
04215,9,　　(旧 204 古川市)
04215,9,　　(旧 461 松山町)
04215,9,　　(旧 462 三本木町)
04215,9,　　(旧 463 鹿島台町)
04215,9,　　(旧 481 岩出山町)
04215,9,　　(旧 482 鳴子町)
04215,9,　　(旧 502 田尻町)
04300,c,刈田郡
04301,3,蔵王町
04302,3,七ヶ宿町
04320,c,柴田郡
04321,3,大河原町
04322,3,村田町
04323,3,柴田町
04324,3,川崎町
04340,c,伊具郡
04341,3,丸森町
04360,c,亘理郡
04361,3,亘理町
04362,3,山元町
04400,c,宮城郡
04401,3,松島町
04404,3,七ヶ浜町
04406,3,利府町
04420,c,黒川郡
04421,3,大和町
04422,3,大郷町
04423,3,富谷町
04424,3,大衡村
04440,c,加美郡
04444,3,色麻町
04445,3,加美町
04445,9,　　(旧 441 中新田町)
04445,9,　　(旧 442 小野田町)
04445,9,　　(旧 443 宮崎町)
04500,c,遠田郡
04501,3,涌谷町
04505,3,美里町
04505,9,　　(旧 503 小牛田町)
04505,9,　　(旧 504 南郷町)
04580,c,牡鹿郡
04581,3,女川町
04600,c,本吉郡
04606,3,南三陸町
04606,9,　　(旧 601 志津川町)
04606,9,　　(旧 605 歌津町)
05000,a,秋田県
05001,b,市部
05002,b,郡部
05201,2,秋田市
05201,9,　　(旧 201 秋田市)
05201,9,　　(旧 381 河辺町)
05201,9,　　(旧 382 雄和町)
05202,2,能代市
05202,9,　　(旧 202 能代市)
05202,9,　　(旧 342 二ツ井町)
05203,2,横手市
05203,9,　　(旧 203 横手市)
05203,9,　　(旧 441 増田町)
05203,9,　　(旧 442 平鹿町)
